brandName,genericName,strength,formulation,category,aliases,betaAllowed
Pantacip-DSR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantacon 40 Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantacon D 30mg/40mg Capsule SR,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantacon-D Tablet,Domperidone,10mg,Tablet,PPIs/Reflux,"['Aciloc RD 20 Tablet', 'Alsar D 10mg/20mg Tablet', 'Arcopan D 10mg/40mg Tablet']",True
Pantacon-DSR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantacool 20mg Tablet,Pantoprazole,20mg,Tablet,PPIs/Reflux,"['Aciban 20 Tablet', 'Acipan 20mg Tablet', 'Alpan 20mg Tablet']",True
Pantact 20 Tablet,Pantoprazole,20mg,Tablet,PPIs/Reflux,"['Aciban 20 Tablet', 'Acipan 20mg Tablet', 'Alpan 20mg Tablet']",True
Pantact D SR 20mg/40mg Capsule,Domperidone,20mg,Capsule,PPIs/Reflux,"['Acigrip DSR 20 mg/40 mg Capsule', 'Buffet-DXR 20mg/40mg Capsule', 'Diocid DSR Capsule']",True
Pantacure 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantacure-D 10mg/20mg Tablet,Domperidone,10mg,Tablet,PPIs/Reflux,"['Aciloc RD 20 Tablet', 'Alsar D 10mg/20mg Tablet', 'Arcopan D 10mg/40mg Tablet']",True
Pantacure-DSR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantadal 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantadence 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantadex 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantadif 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantadif D 30mg/40mg Tablet,Domperidone,30mg,Tablet,PPIs/Reflux,"['Acid Cool DSR 30mg/20mg Tablet', 'Acipan D 30mg/40mg Tablet SR', 'Ancera D 30mg/20mg Tablet']",True
Pantadif L 75mg/40mg Capsule,Levosulpiride,75mg,Capsule,PPIs/Reflux,"['Acera-L Capsule SR', 'Acidart 75mg/20mg Capsule', 'Ansuper-Plus Capsule SR']",True
