brandName,genericName,strength,formulation,category,aliases,betaAllowed
Licozine-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Licy 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Licy M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liczet 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lidof-A 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liecet 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liecet P Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liezen-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lifaxo 180mg Tablet,Fexofenadine,180mg,Tablet,Antihistamines,"['Allegra 180mg Tablet', 'Air 180 Tablet', 'Algrot 180mg Tablet']",True
Lifcet 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Lifcet-LV 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lifcorcet-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lifocet-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Ligcet 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Ligesic N Plus Tablet,Caffeine,30mg,Tablet,Antihistamines,"['Azicold Plus Tablet', 'Asbetos Tablet', 'Autcold Tablet']",True
Lili 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lili M Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Lilly 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Limit-LC Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Limkast 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Limokast M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Limont 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Limont M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Limont Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Limonte Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Limonte-Kid Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Limosan Cold Tablet,Caffeine,25mg,Tablet,Antihistamines,"['Albicold N Tablet', 'Alflam Kold Tablet', 'Avokold N Tablet']",True
Limvent Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Limvent-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Linifex 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Linifex 180 Tablet,Fexofenadine,180mg,Tablet,Antihistamines,"['Allegra 180mg Tablet', 'Air 180 Tablet', 'Algrot 180mg Tablet']",True
Linifex M 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Linpar Cold 5mg/325mg/5mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Liokast 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liokast-M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liokast-M Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Liokast-M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Liptry 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lirizine M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lirro 5mg Tablet,Desloratadine,5mg,Tablet,Antihistamines,"['Alides 5mg Tablet', 'Alenix 5 Tablet', 'Allerde 5mg Tablet']",True
Lisaid Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lisaid-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lisani 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lisani M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lisp 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
List 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
List M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Listamine 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Listamine Plus 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Listamine Plus Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Lit 5mg Tablet SR,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lit AP Tablet,Ambroxol,60mg,Tablet,Antihistamines,"['Alaspan AM Tablet', 'Acolate P Plus Tablet', 'Alastin AM Tablet']",True
Lit M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lit Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lite Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Lite-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Litec 10mg Tablet,Levocetirizine,10mg,Tablet,Antihistamines,"['Alvizine 10mg Tablet', 'Allelin 10mg Tablet', 'Alvocet 10mg Tablet MD']",True
Litec 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Litriz 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Litriz-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liturgic 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liturgic LC 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liv Z 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livair Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livath 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livath Plus 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livath Plus Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Livath Plus Syrup,Levocetirizine,4mg,Syrup,Antihistamines,"['Levomind M Syrup', 'Mot-LC Syrup', 'Monvent-LC Syrup']",True
Livazin M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livazin M Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
Livazin Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livcast 10mg Tablet,Levocetirizine,10mg,Tablet,Antihistamines,"['Alvizine 10mg Tablet', 'Allelin 10mg Tablet', 'Alvocet 10mg Tablet MD']",True
Livcast 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livcast A 5mg/75mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livcast M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livcast M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Livcet 5mg Syrup,Levocetirizine,5mg,Syrup,Antihistamines,"['Allerkast Syrup', 'Ambicet 5 mg/30 mg Syrup', 'Alertus 5mg Syrup']",True
Livcet 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livcet AM 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livcet M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livcet-M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Livday 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livecs M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livecs M Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
Livezest A 10mg/5mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Livezy M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livit 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livmed 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livmed A 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livmed AM 10mg/5mg/200mg Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Livmed Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Livmed-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livmet 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livnix-AM Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Livoaxride-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livocerin 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livocet 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livocet AM Syrup,Levocetirizine,5mg,Syrup,Antihistamines,"['Allerkast Syrup', 'Ambicet 5 mg/30 mg Syrup', 'Alertus 5mg Syrup']",True
Livochamp 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livocin 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livocit 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livodari Plus Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livodoz 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livofame 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livofame M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livohealth-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livolix 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livomaxx 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livomik 10mg Tablet,Levocetirizine,10mg,Tablet,Antihistamines,"['Alvizine 10mg Tablet', 'Allelin 10mg Tablet', 'Alvocet 10mg Tablet MD']",True
Livomik 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livomik-M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livonase 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livopure 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livorg 10mg Tablet,Levocetirizine,10mg,Tablet,Antihistamines,"['Alvizine 10mg Tablet', 'Allelin 10mg Tablet', 'Alvocet 10mg Tablet MD']",True
Livorgy Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livoros 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livorox 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livorox M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livosuck MT 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livosync 5mg Tablet MD,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livosync Plus 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livotab M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livotec 10mg Tablet,Levocetirizine,10mg,Tablet,Antihistamines,"['Alvizine 10mg Tablet', 'Allelin 10mg Tablet', 'Alvocet 10mg Tablet MD']",True
Livotec 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livotec MT 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livotec Plus 75mg/5mg/10mg Tablet SR,Ambroxol,75mg,Tablet,Antihistamines,"['Alerfix Total Tablet SR', 'Alersin-Total Tablet SR', 'Alercid Total 75mg/5mg/10mg Tablet']",True
Livotec Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Livotec Tablet,Levocetirizine,NA,Tablet,Antihistamines,"['AH Plus Tablet', 'Amrox LC Tablet', 'Allerone-M Kid Tablet']",True
Livotuff Tablet MD Orange,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livotuff-M Kid Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
Livotuff-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livozed 3D 10mg/120mg/200mg Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Livozed 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livozed A 5mg/75mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livozed FX 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Livozed M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livozed M Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Livozed M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Livozest MX 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livozest MX Syrup,Levocetirizine,5mg,Syrup,Antihistamines,"['Allerkast Syrup', 'Ambicet 5 mg/30 mg Syrup', 'Alertus 5mg Syrup']",True
Livozine 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livozine Cold Tablet,Levocetirizine,NA,Tablet,Antihistamines,"['AH Plus Tablet', 'Amrox LC Tablet', 'Allerone-M Kid Tablet']",True
Livozit 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livozy 10mg Tablet,Levocetirizine,10mg,Tablet,Antihistamines,"['Alvizine 10mg Tablet', 'Allelin 10mg Tablet', 'Alvocet 10mg Tablet MD']",True
Livozy 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livrel 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livride 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livride M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livride-A Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livrin-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livtrin 2.5mg Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Livtrin AM 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livtrin-SG Softgels,Levocetirizine,5mg,Capsule,Antihistamines,"['Airway L Capsule', 'CZ L 5 mg/120 mg Capsule', 'Citymont L 5mg/10mg Soft Gelatin Capsule']",True
Livy 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livy M 5 mg/10 mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livy M Syrup,Levocetirizine,5mg,Syrup,Antihistamines,"['Allerkast Syrup', 'Ambicet 5 mg/30 mg Syrup', 'Alertus 5mg Syrup']",True
Livz Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Livzone 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liwinex 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liwinex M Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Liza 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liza Dec 150mg/2.5mg Tablet,Diethylcarbamazine,150mg,Tablet,Antihistamines,"['Acefil BD 150mg/5mg Tablet', 'Bocet-BD 150mg/5mg Tablet', 'Carcet 150mg/5mg Tablet']",True
Liza M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Liza M Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Lizacet AM Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
